Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/dataset/[ds_id]/cluster/[cluster]/issues?entity_type=IMAGES,1,0,163.6042649997762,163.6042649997762,163.6042649997762,163.6042649997762,196.0,0.025500854842947156,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/api/v1/dataset/[ds_id]/cluster/[cluster]/tags?entity_type=IMAGES,1,0,161.11830900035784,161.11830900035784,161.11830900035784,161.11830900035784,2.0,0.025500854842947156,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/api/v1/dataset/[ds_id]/cluster/[obj_cl]/issues?entity_type=OBJECTS,1,0,192.34644700009085,192.34644700009085,192.34644700009085,192.34644700009085,115.0,0.025500854842947156,0.0,190,190,190,190,190,190,190,190,190,190,190
GET,/api/v1/dataset/[ds_id]/cluster/[obj_cl]/tags?entity_type=OBJECTS,1,0,170.90177199997925,170.90177199997925,170.90177199997925,170.90177199997925,2.0,0.025500854842947156,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/api/v1/dataset/[ds_id]/issue_types_of_entities?entity_type=IMAGES,3,0,190.0,189.09526300012658,185.24183900035496,194.6861070000523,196.0,0.07650256452884147,0.0,190,190,190,190,190,190,190,190,190,190,190
GET,/api/v1/dataset/[ds_id]/issue_types_of_entities?entity_type=OBJECTS,2,0,181.31935399969734,200.26435599970682,181.31935399969734,219.2093579997163,155.0,0.05100170968589431,0.0,220,220,220,220,220,220,220,220,220,220,220
GET,/api/v1/dataset/[ds_id]/stats,2,0,144.63940599989655,147.63431000005767,144.63940599989655,150.62921400021878,1611.0,0.05100170968589431,0.0,150,150,150,150,150,150,150,150,150,150,150
GET,/api/v1/dataset/[ds_id]/tags,1,0,199.94838299999174,199.94838299999174,199.94838299999174,199.94838299999174,2.0,0.025500854842947156,0.0,200,200,200,200,200,200,200,200,200,200,200
GET,/api/v1/dataset/[ds_id]/tags?entity_type=IMAGES,1,0,151.17809100001978,151.17809100001978,151.17809100001978,151.17809100001978,2.0,0.025500854842947156,0.0,150,150,150,150,150,150,150,150,150,150,150
GET,/api/v1/dataset/[ds_id]/views,1,0,141.07932700017045,141.07932700017045,141.07932700017045,141.07932700017045,12.0,0.025500854842947156,0.0,140,140,140,140,140,140,140,140,140,140,140
GET,/api/v1/datasets?sort_by=status&include_hidden=true,1,0,1370.0696129999415,1370.0696129999415,1370.0696129999415,1370.0696129999415,47700.0,0.025500854842947156,0.0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
GET,/api/v1/explore/[ds_id]/cluster/[cluster]/labels?entity_type=IMAGES,1,0,145.37845899985768,145.37845899985768,145.37845899985768,145.37845899985768,210.0,0.025500854842947156,0.0,150,150,150,150,150,150,150,150,150,150,150
GET,/api/v1/explore/[ds_id]/cluster/[obj_cl]/labels?entity_type=OBJECTS,1,0,283.1862299999557,283.1862299999557,283.1862299999557,283.1862299999557,79.0,0.025500854842947156,0.0,280,280,280,280,280,280,280,280,280,280,280
GET,/api/v1/explore/[ds_id]/exploration_metadata?threshold=0&entity_type=IMAGES&page_number=0,1,0,194.8781770001915,194.8781770001915,194.8781770001915,194.8781770001915,37.0,0.025500854842947156,0.0,190,190,190,190,190,190,190,190,190,190,190
